product_id,product_name,category,sub_category,brand,supplier,price,discount_percent,stock_quantity,rating,reviews_count,weight_kg,color,size,material,warranty_years,country,warehouse_city,created_date,status
P1001,Dark Mobile,Electronics,Mobile,Dell,Griffin Inc,35177,35,243,4.7,9805,7.03,Black,Large,Aluminium,2,Montenegro,Pune,2025-08-28,Inactive
P1002,Never Laptop,Electronics,Laptop,Nike,Hardin-Williams,92347,31,811,3.7,8124,19.97,Blue,Standard,Aluminium,2,Lesotho,Hyderabad,2025-02-24,Active
P1003,Another Shoes,Fashion,Shoes,Apple,"Munoz, Cox and Howard",31211,22,203,3.3,4091,13.66,White,Medium,Metal,0,Azerbaijan,Bangalore,2025-02-13,Active
P1004,Even Laptop,Electronics,Laptop,Adidas,"Gonzalez, Orozco and Webster",8631,20,429,3.2,1612,14.67,Red,Medium,Glass,5,Dominica,Chennai,2025-12-20,Inactive
P1005,Should Mobile,Electronics,Mobile,Apple,Oneill-Powell,14274,39,918,4.7,7620,5.02,Silver,Small,Glass,0,Cambodia,Chennai,2025-01-30,Inactive
P1006,Sound Oil,Grocery,Oil,Dell,Davis-Evans,68385,27,687,4.5,6971,12.0,Blue,Large,Plastic,4,Barbados,Mumbai,2025-10-11,Inactive
P1007,Significant Bed,Furniture,Bed,Adidas,Davis Group,28837,13,738,4.4,3075,10.81,Red,Small,Metal,5,Hong Kong,Delhi,2024-11-27,Active
P1008,Thought Bed,Furniture,Bed,HP,Garner-Brown,16113,26,481,4.7,581,19.75,Red,Medium,Aluminium,3,Kazakhstan,Bangalore,2025-10-04,Active
P1009,Little Shoes,Fashion,Shoes,Sony,Nguyen-Carter,55667,23,816,4.8,5412,14.39,Blue,Standard,Metal,0,Denmark,Mumbai,2026-04-07,Active
P1010,Military Headphones,Electronics,Headphones,Samsung,"Martinez, Mann and Smith",12402,25,613,4.9,2931,1.49,Blue,Medium,Plastic,4,Canada,Pune,2025-09-24,Inactive
P1011,Successful Mobile,Electronics,Mobile,Dell,Dudley-Mccarthy,450,25,771,4.3,2031,12.26,Silver,Small,Metal,3,Tokelau,Mumbai,2024-09-20,Inactive
P1012,Modern Smart Watch,Electronics,Smart Watch,Adidas,Harrington LLC,39909,40,800,3.2,4857,16.54,White,Small,Leather,4,Switzerland,Delhi,2025-08-22,Active
P1013,Above Bed,Furniture,Bed,HP,Price-Roberson,37714,39,48,4.8,3435,9.49,Black,Large,Aluminium,5,Iraq,Pune,2025-01-29,Inactive
P1014,Develop Shirt,Fashion,Shirt,Dell,Hester and Sons,85297,37,638,3.1,2120,0.18,White,Small,Glass,5,Swaziland,Delhi,2024-11-09,Inactive
